scenario_id,component_id,component_name,plot_label,evidence_type,lambda_per_hour,original_expression,conversion_formula,caveat,source_pdf,pdf_page,printed_page,source_table,ticket_share,source_citation,source_url,bound,scientific_role,lambda_per_year,reciprocal_time_hours,reciprocal_time_years,time_model,time_unit_primary,hours_per_year
contator_ac_derived,contator_ac,Contator AC,Contator AC - cenário derivado,derived_sensitivity,2.1e-05,"1,75e-4 falha/h x 12% dos chamados",lambda_contator = lambda_inversor * 0.12,Alocação proporcional de uma taxa agregada de inversor; não é uma taxa de falha observada diretamente para contatores.,literatura/inversores-pv/torres_aplicacao-da-metodologia-reliability-centred-maintenance-a-s_2024.pdf,35.0,34.0,Tabelas 3.3 e 3.4,0.12,,,point,historical_tcc_reliability_sensitivity,0.18395999999999998,47619.04761904762,5.435964340073929,exponential_constant_hazard,hour,8760.0
igbt_derived,igbt,IGBT,IGBT - cenário derivado,derived_sensitivity,1.05e-05,"1,75e-4 falha/h x 6% dos chamados",lambda_igbt = lambda_inversor * 0.06,Alocação proporcional de uma taxa agregada de inversor; não é uma taxa de falha observada diretamente para IGBTs.,literatura/inversores-pv/torres_aplicacao-da-metodologia-reliability-centred-maintenance-a-s_2024.pdf,35.0,34.0,Tabelas 3.3 e 3.4,0.06,,,point,historical_tcc_reliability_sensitivity,0.09197999999999999,95238.09523809524,10.871928680147859,exponential_constant_hazard,hour,8760.0
fusivel_ac_derived,fusivel_ac,Fusível AC,Fusível AC - cenário derivado,derived_sensitivity,7e-06,"1,75e-4 falha/h x 4% dos chamados",lambda_fusivel_derivada = lambda_inversor * 0.04,Alocação proporcional de uma taxa agregada de inversor. É mantida separada da taxa bibliográfica direta do fusível.,literatura/inversores-pv/torres_aplicacao-da-metodologia-reliability-centred-maintenance-a-s_2024.pdf,35.0,34.0,Tabelas 3.3 e 3.4,0.04,,,point,historical_tcc_reliability_sensitivity,0.06132,142857.14285714287,16.30789302022179,exponential_constant_hazard,hour,8760.0
fusivel_ac_direct,fusivel_ac,Fusível AC,Fusível - taxa direta da Tabela 3.4,direct_bibliographic,2.17e-06,"2,17e-6 falha/h",lambda_ano = lambda_hora * 8760,"Taxa transcrita para o subcomponente genérico fusível, adaptada de Colli (2015); não representa uma medição de campo desta pesquisa.",literatura/inversores-pv/torres_aplicacao-da-metodologia-reliability-centred-maintenance-a-s_2024.pdf,35.0,34.0,Tabela 3.4,,,,point,historical_tcc_reliability_sensitivity,0.0190092,460829.4930875576,52.60610651684448,exponential_constant_hazard,hour,8760.0
igbt_datasheet_lower,igbt,IGBT,IGBT - datasheet (10 FIT),external_datasheet,1e-08,10 FIT (projeto/datasheet),lambda_h = 10 * 1e-9,"Taxa de projeto/datasheet do fabricante, não medição de campo. Limite inferior da faixa Mitsubishi.",,,,,,"Mitsubishi Electric (2019), Power Module Reliability (application note)",https://www.mitsubishielectric.com/semiconductors/powerdevices/application_notes/powermodule_reliability_e.pdf,lower,external_bibliographic_component_rate,8.76e-05,100000000.0,11415.52511415525,exponential_constant_hazard,hour,8760.0
igbt_datasheet_upper,igbt,IGBT,IGBT - datasheet (100 FIT),external_datasheet,1e-07,100 FIT (projeto/datasheet),lambda_h = 100 * 1e-9,"Taxa de projeto/datasheet do fabricante, não medição de campo. Limite superior da faixa Mitsubishi.",,,,,,"Mitsubishi Electric (2019), Power Module Reliability (application note)",https://www.mitsubishielectric.com/semiconductors/powerdevices/application_notes/powermodule_reliability_e.pdf,upper,external_bibliographic_component_rate,0.0008759999999999999,10000000.0,1141.552511415525,exponential_constant_hazard,hour,8760.0
igbt_field_lower,igbt,IGBT,IGBT - campo FIDES (685 FIT),external_field_model,6.85e-07,"685 FIT (FIDES, perfil solar)",lambda_h = 685 * 1e-9,"Modelado via FIDES com perfil de missão solar (Aceh, tropical); valor lido de gráfico. Limite inferior anual.",,,,,,"Abunima & Teh (2020), IEEE Access 8:14367-14376, DOI 10.1109/ACCESS.2020.2966922 (modelo FIDES, perfil de missão solar)",,lower,external_bibliographic_component_rate,0.0060006,1459854.01459854,166.6500016665,exponential_constant_hazard,hour,8760.0
igbt_field_upper,igbt,IGBT,IGBT - campo FIDES (2740 FIT),external_field_model,2.74e-06,"2740 FIT (FIDES, perfil solar)",lambda_h = 2740 * 1e-9,"Modelado via FIDES com perfil de missão solar (Aceh, tropical); valor lido de gráfico. Limite superior anual.",,,,,,"Abunima & Teh (2020), IEEE Access 8:14367-14376, DOI 10.1109/ACCESS.2020.2966922 (modelo FIDES, perfil de missão solar)",,upper,external_bibliographic_component_rate,0.0240024,364963.503649635,41.662500416625,exponential_constant_hazard,hour,8760.0
contactors_norm,ac_dc_contactors,Contatores CA/CC,Contatores - norma ABB (100 FIT),external_norm,1e-07,"100 FIT (ABB, Tabela 2)",lambda_h = 100 * 1e-9,"Taxa de norma do fabricante. A fonte foi consultada em cópia NÃO oficial (klibo.de), não no domínio abb.com; verificar.",,,,,,"ABB, doc. 2CMT2016-005511, Tabela 2 (contatores: 100 FIT)",https://www.klibo.de/fileadmin/klibo/pdf/technische_daten/abb/b7/b7_b10_werte.pdf,point,external_bibliographic_component_rate,0.0008759999999999999,10000000.0,1141.552511415525,exponential_constant_hazard,hour,8760.0
cooling_fans_lower,cooling_fans,Ventiladores de refrigeração,"Ventiladores - Sanyo 9RA (1,4e-5/h)",external_datasheet,1.4e-05,"1,4e-5 falha/h (Sanyo 9RA)",valor de datasheet em falhas/h,"Taxa de produto específico (Sanyo 9RA), não valor genérico de categoria. Limite inferior.",,,,,,"Sanyo Denki, série 9RA (datasheet; MTBF 50.000-70.000 h a 60 °C, cálculo L10)",,lower,external_bibliographic_component_rate,0.12264,71428.57142857143,8.153946510110895,exponential_constant_hazard,hour,8760.0
